epoch,train_loss,train_acc,test_loss,test_acc
1,1.7881341004920432,32.714,1.5887125049591064,0.4055
2,1.4457778845296796,46.728,1.243605325126648,0.5431
3,1.2778988053731601,53.37,1.1111318008422852,0.6069
4,1.0719632009411102,61.622,0.9912443579673768,0.6415
5,0.9634161635737895,65.954,0.958353588294983,0.6701
6,0.8777701741899065,69.044,0.8029578202247619,0.7187
7,0.8043191940583232,71.708,0.7187118803977967,0.7466
8,0.7449991369948668,73.674,0.7340723451614379,0.7435
9,0.6943312346782831,75.524,0.6857808332443237,0.7624
10,0.6613513551404714,76.97,0.6551587213516236,0.774
